Data,USDBRL ,IBOVESPA,OURO,SPX
1994-01-03,0.1205,380.09,394.0,465.44
1994-01-04,0.1224,400.54,393.85,466.89
1994-01-05,0.1243,421.04,391.2,467.55
1994-01-06,0.1263,444.17,388.9,467.12
1994-01-07,0.1283,476.39,387.1,469.9
1994-01-10,0.1303,495.39,384.6,475.27
1994-01-11,0.1324,501.41,388.5,474.13
1994-01-12,0.1344,536.43,386.4,474.17
1994-01-13,0.1387,561.65,390.0,472.47
1994-01-14,0.1409,551.06,390.0,474.91
1994-01-17,0.1409,598.05,391.7,473.3
1994-01-18,0.1409,605.71,393.3,474.25
1994-01-19,0.1456,642.02,392.6,474.3
1994-01-20,0.148,689.67,387.8,474.98
1994-01-21,0.1504,689.17,382.0,474.72
1994-01-24,0.1529,689.56,381.6,471.97
1994-01-25,0.1555,689.56,381.9,470.92
1994-01-26,0.1582,704.93,384.5,473.2
1994-01-27,0.1609,684.49,377.0,477.05
1994-01-28,0.1637,689.21,377.3,478.7
1994-01-31,0.1668,740.55,381.9,481.61
1994-02-01,0.17,826.86,384.5,479.62
1994-02-02,0.1732,823.05,384.9,482.0
1994-02-03,0.1765,798.35,387.3,480.71
1994-02-04,0.1798,821.28,386.5,469.81
1994-02-07,0.1832,848.72,379.6,471.76
1994-02-08,0.1866,887.98,380.75,471.05
1994-02-09,0.1902,904.66,384.2,472.77
1994-02-10,0.1937,1000.9,382.75,468.93
1994-02-11,0.1973,1035.4,381.8,470.18
1994-02-14,0.1973,1035.4,384.25,470.23
1994-02-15,0.1973,1035.4,384.2,472.52
1994-02-16,0.201,1035.4,383.8,472.79
1994-02-17,0.2085,1040.9,383.5,470.34
1994-02-18,0.2124,944.8,380.3,467.69
1994-02-21,0.2124,928.5,380.45,467.69
1994-02-22,0.2162,1053.6,378.9,471.46
1994-02-23,0.2202,1063.0,378.75,470.69
1994-02-24,0.2241,997.9,377.45,464.26
1994-02-25,0.2283,1008.3,379.3,466.07
1994-02-28,0.2317,1053.8,381.75,467.14
1994-03-01,0.2354,1073.3,378.75,464.44
1994-03-02,0.2391,1021.4,378.1,464.81
1994-03-03,0.2427,1045.7,377.85,463.01
1994-03-04,0.2465,1114.0,377.2,464.74
1994-03-07,0.2503,1193.9,376.4,466.91
1994-03-08,0.2542,1204.5,377.0,465.88
1994-03-09,0.2581,1260.2,379.5,467.06
1994-03-10,0.2622,1266.9,386.8,463.9
1994-03-11,0.2662,1268.7,385.5,466.44
1994-03-14,0.2704,1329.6,387.4,467.39
1994-03-15,0.2747,1350.9,387.1,467.01
1994-03-16,0.279,1408.4,385.3,469.42
1994-03-17,0.2835,1393.7,382.7,470.9
1994-03-18,0.288,1331.8,387.3,471.06
1994-03-21,0.2929,1270.8,388.5,468.54
1994-03-22,0.2981,1353.5,389.5,468.8
1994-03-23,0.3034,1415.7,387.0,468.54
1994-03-24,0.3087,1376.6,391.7,464.35
1994-03-25,0.3142,1459.0,391.4,460.58
1994-03-28,0.3198,1469.2,388.3,460.0
1994-03-29,0.3254,1440.7,386.2,452.48
1994-03-30,0.3321,1515.5,386.4,445.55
1994-03-31,0.3321,1515.5,391.0,445.77
1994-04-01,0.3321,1515.5,391.0,445.77
1994-04-04,0.3385,1355.0,387.2,438.92
1994-04-05,0.345,1427.9,384.8,448.29
1994-04-06,0.3517,1435.5,385.4,448.05
1994-04-07,0.3584,1474.8,384.2,450.88
1994-04-08,0.3653,1537.4,384.8,447.1
1994-04-11,0.3723,1659.5,378.2,449.87
1994-04-12,0.3795,1648.8,379.15,447.57
1994-04-13,0.3868,1552.7,378.6,446.26
1994-04-14,0.3942,1506.2,379.1,446.38
1994-04-15,0.4018,1443.4,378.2,446.18
1994-04-18,0.4095,1401.1,377.3,442.46
1994-04-19,0.4173,1345.6,372.1,442.54
1994-04-20,0.4253,1283.8,373.0,441.96
1994-04-21,0.4253,1283.8,373.8,448.73
1994-04-22,0.4334,1420.2,371.5,447.63
1994-04-25,0.4414,1551.6,374.0,452.71
1994-04-26,0.4494,1583.8,375.5,451.87
1994-04-27,0.4575,1605.1,376.0,451.87
1994-04-28,0.4652,1672.7,375.9,449.1
1994-04-29,0.4735,1708.4,377.05,450.91
1994-05-02,0.4813,1725.6,376.7,453.02
1994-05-03,0.4891,1648.3,376.1,453.03
1994-05-04,0.4971,1573.8,377.1,451.72
1994-05-05,0.5053,1447.8,374.1,451.38
1994-05-06,0.5136,1510.3,384.0,447.82
1994-05-09,0.5222,1421.7,381.5,442.32
1994-05-10,0.5307,1547.9,379.3,446.01
1994-05-11,0.5396,1546.0,382.2,441.49
1994-05-12,0.5487,1637.8,380.3,443.75
1994-05-13,0.5579,1585.8,381.0,444.14
1994-05-16,0.5673,1562.6,383.4,444.49
1994-05-17,0.5769,1648.3,384.5,449.37
1994-05-18,0.5866,1790.9,382.2,453.69
1994-05-19,0.5965,2008.4,381.5,456.48
1994-05-20,0.6066,2031.7,384.25,454.92
1994-05-23,0.6168,2096.2,389.6,453.2
1994-05-24,0.6273,2127.7,388.3,454.81
1994-05-25,0.6378,2301.7,386.6,456.34
1994-05-26,0.6593,2342.1,385.25,457.06
1994-05-27,0.6705,2349.4,386.0,457.33
1994-05-30,0.6705,2428.4,385.5,457.33
1994-05-31,0.6819,2467.2,387.3,456.5
1994-06-01,0.6938,2526.4,383.8,457.63
1994-06-02,0.6938,2526.4,384.6,457.65
1994-06-03,0.706,2695.9,380.9,460.13
1994-06-06,0.7183,2908.6,380.9,458.88
1994-06-07,0.7309,2920.5,381.45,458.21
1994-06-08,0.7439,2821.8,382.1,457.06
1994-06-09,0.7573,2932.4,383.3,457.86
1994-06-10,0.7706,3020.4,384.1,458.67
1994-06-13,0.7846,2946.9,383.7,459.1
1994-06-14,0.7985,3017.3,384.5,462.37
1994-06-15,0.8129,3069.7,387.2,460.61
1994-06-16,0.8278,3033.8,386.0,461.93
1994-06-17,0.843,3237.6,388.25,458.45
1994-06-20,0.8585,3237.8,389.4,455.48
1994-06-21,0.8748,3127.6,394.55,451.34
1994-06-22,0.8916,3198.5,390.1,453.09
1994-06-23,0.9087,3198.5,389.75,449.63
1994-06-24,0.9261,3109.6,391.6,442.8
1994-06-27,0.9441,3372.1,385.1,447.31
1994-06-28,0.9625,3563.5,386.7,446.07
1994-06-29,0.9813,3828.3,385.1,447.63
1994-06-30,1.0,3623.1,386.3,444.27
1994-07-01,1.0,3623.1,387.2,446.2
1994-07-04,0.94,3580.8,387.2,446.2
1994-07-05,0.93,3564.3,386.3,446.37
1994-07-06,0.915,3753.5,384.1,446.13
1994-07-07,0.911,3904.9,385.2,448.38
1994-07-08,0.935,4051.9,383.5,449.55
1994-07-11,0.92,4010.8,386.2,448.06
1994-07-12,0.917,3919.7,385.8,447.95
1994-07-13,0.921,3840.8,383.7,448.73
1994-07-14,0.921,4016.5,384.2,453.41
1994-07-15,0.935,4079.9,386.3,454.16
1994-07-18,0.934,4045.3,386.1,455.22
1994-07-19,0.931,3874.6,387.0,453.86
1994-07-20,0.927,4038.6,385.6,451.6
1994-07-21,0.936,4018.4,386.8,452.61
1994-07-22,0.935,3986.6,385.3,453.11
1994-07-25,0.936,3993.9,385.25,454.25
1994-07-26,0.935,4077.2,386.5,453.36
1994-07-27,0.937,4077.2,388.0,452.57
1994-07-28,0.942,4255.3,388.1,454.23
1994-07-29,0.938,4201.3,383.6,458.26
1994-08-01,0.926,4152.0,384.0,461.01
1994-08-02,0.919,4310.7,379.4,460.56
1994-08-03,0.91,4392.1,378.2,461.45
1994-08-04,0.91,4354.9,378.2,458.4
1994-08-05,0.912,4469.5,378.5,457.09
1994-08-08,0.901,4580.9,377.75,457.89
1994-08-09,0.895,4558.2,378.3,457.93
1994-08-10,0.892,4513.2,377.9,460.3
1994-08-11,0.899,4463.7,377.75,458.88
1994-08-12,0.903,4547.1,376.8,461.94
1994-08-15,0.895,4651.0,377.1,461.23
1994-08-16,0.896,4744.1,376.4,465.01
1994-08-17,0.898,4968.9,377.8,465.17
1994-08-18,0.8945,5026.5,381.4,463.17
1994-08-19,0.893,5138.2,382.4,463.68
1994-08-22,0.886,5385.8,382.3,462.32
1994-08-23,0.886,5303.9,382.1,464.51
1994-08-24,0.8835,5207.7,384.1,469.03
1994-08-25,0.8865,5354.6,383.7,468.08
1994-08-26,0.887,5214.3,383.7,473.8
1994-08-29,0.895,5323.0,387.4,474.59
1994-08-30,0.886,5379.6,386.9,476.07
1994-08-31,0.888,5329.4,386.6,475.49
1994-09-01,0.884,5436.9,387.3,473.17
1994-09-02,0.885,5367.4,387.4,470.99
1994-09-05,0.892,4804.0,387.35,470.99
1994-09-06,0.884,4989.8,388.3,471.86
1994-09-07,0.884,4989.8,390.5,470.96
1994-09-08,0.88,5272.1,392.0,473.14
1994-09-09,0.871,5351.1,392.1,468.18
1994-09-12,0.852,5510.9,391.2,466.21
1994-09-13,0.859,5510.9,390.9,467.51
1994-09-14,0.854,5476.4,390.7,468.8
1994-09-15,0.858,5287.4,388.5,474.81
1994-09-16,0.8555,5293.7,390.2,471.19
1994-09-19,0.853,5291.8,390.2,470.85
1994-09-20,0.853,5177.3,393.8,463.36
1994-09-21,0.856,5343.5,394.4,461.46
1994-09-22,0.854,5395.2,395.8,461.27
1994-09-23,0.858,5453.2,396.5,459.67
1994-09-26,0.861,5265.0,396.25,460.82
1994-09-27,0.864,5217.5,398.2,462.05
1994-09-28,0.863,5277.0,395.9,464.84
1994-09-29,0.851,5442.6,396.0,462.24
1994-09-30,0.852,5484.0,394.25,462.69
1994-10-03,0.852,5484.0,396.0,461.74
1994-10-04,0.848,5335.1,393.0,454.59
1994-10-05,0.846,5166.8,393.0,453.52
1994-10-06,0.845,4979.4,392.25,452.36
1994-10-07,0.843,4876.7,393.25,455.1
1994-10-10,0.838,5032.1,391.75,459.04
1994-10-11,0.834,4925.9,388.25,465.79
1994-10-12,0.834,4925.9,388.2,465.47
1994-10-13,0.835,4944.5,386.7,467.77
1994-10-14,0.828,4833.7,387.75,469.1
1994-10-17,0.828,4784.4,389.5,468.96
1994-10-18,0.846,4909.6,390.25,467.66
1994-10-19,0.852,4758.7,391.25,470.28
1994-10-20,0.855,4724.4,391.75,466.85
1994-10-21,0.852,4561.9,391.0,464.89
1994-10-24,0.852,4344.0,390.0,460.83
1994-10-25,0.853,4543.3,389.75,461.53
1994-10-26,0.855,4663.7,389.25,462.62
1994-10-27,0.851,4706.7,389.0,465.85
1994-10-28,0.849,4927.5,388.0,473.77
1994-10-31,0.845,4797.9,384.5,472.35
1994-11-01,0.8435,4700.8,384.6,468.42
1994-11-02,0.8435,4700.8,384.5,466.5
1994-11-03,0.845,4508.0,384.0,467.91
1994-11-04,0.844,4666.6,383.9,462.28
1994-11-07,0.838,4808.7,383.0,463.07
1994-11-08,0.833,4782.1,384.1,465.65
1994-11-09,0.83,4885.0,384.0,465.4
1994-11-10,0.834,4992.5,385.4,464.37
1994-11-11,0.835,4951.9,385.5,462.35
1994-11-14,0.8365,4948.7,385.1,466.04
1994-11-15,0.833,4948.7,387.1,465.03
1994-11-16,0.832,4989.5,386.5,465.6
1994-11-17,0.832,4873.7,386.5,463.56
1994-11-18,0.835,4712.4,384.7,461.47
1994-11-21,0.835,4483.4,383.8,458.3
1994-11-22,0.835,4494.8,384.15,450.09
1994-11-23,0.843,4393.0,385.3,449.93
1994-11-24,0.854,4573.3,384.8,449.93
1994-11-25,0.858,4398.7,385.2,452.29
1994-11-28,0.856,4398.7,383.1,454.16
1994-11-29,0.852,4672.0,383.0,455.17
1994-11-30,0.846,4656.0,381.4,453.69
1994-12-01,0.847,4652.3,380.25,448.92
1994-12-02,0.856,4525.4,376.5,453.3
1994-12-05,0.8485,4631.3,376.5,453.32
1994-12-06,0.845,4573.0,376.5,453.11
1994-12-07,0.845,4597.1,376.8,451.23
1994-12-08,0.846,4768.6,377.4,445.45
1994-12-09,0.845,4731.3,378.0,446.96
1994-12-12,0.843,4813.1,377.75,449.47
1994-12-13,0.842,4835.1,378.75,450.15
1994-12-14,0.846,4976.8,379.3,454.97
1994-12-15,0.85,4842.6,380.0,455.34
1994-12-16,0.848,4917.6,379.2,458.8
1994-12-19,0.8475,4922.9,380.1,457.91
1994-12-20,0.849,4799.0,382.35,457.1
1994-12-21,0.852,4495.2,381.9,459.61
1994-12-22,0.859,4221.2,381.4,459.67
1994-12-23,0.853,4351.4,380.8,459.83
1994-12-26,0.849,4278.2,381.5,459.83
1994-12-27,0.851,4113.7,381.5,462.47
1994-12-28,0.855,4195.3,383.75,460.86
1994-12-29,0.847,4353.9,382.9,461.16
1994-12-30,0.846,4353.9,383.2,459.27
1995-01-02,0.844,4319.1,383.0,459.27
1995-01-03,0.845,4098.0,379.85,459.11
1995-01-04,0.845,3967.9,374.3,460.71
1995-01-05,0.843,4036.6,374.75,460.34
1995-01-06,0.84,3827.4,371.5,460.68
1995-01-09,0.844,3627.8,373.5,460.83
1995-01-10,0.847,3627.8,374.8,461.68
1995-01-11,0.851,3499.1,376.0,461.66
1995-01-12,0.845,3840.6,381.25,461.64
1995-01-13,0.847,4103.8,378.95,465.97
1995-01-16,0.847,4056.4,377.75,469.38
1995-01-17,0.846,4209.7,380.6,470.05
1995-01-18,0.846,4078.5,382.4,469.72
1995-01-19,0.848,3809.37,383.75,466.95
1995-01-20,0.848,3862.32,384.2,464.78
1995-01-23,0.85,3758.45,381.5,465.81
1995-01-24,0.851,3840.26,381.75,465.86
1995-01-25,0.851,3840.26,381.1,467.44
1995-01-26,0.845,3926.9,381.5,468.32
1995-01-27,0.844,3784.33,378.25,470.39
1995-01-30,0.846,3580.74,377.0,468.51
1995-01-31,0.841,3885.02,375.1,470.42
1995-02-01,0.842,3989.83,376.2,470.4
1995-02-02,0.839,3897.88,376.25,472.78
1995-02-03,0.839,3944.38,376.3,478.64
1995-02-06,0.836,3829.84,375.9,481.14
1995-02-07,0.836,3637.4,374.8,480.81
1995-02-08,0.835,3556.28,376.0,481.19
1995-02-09,0.833,3401.57,376.5,480.19
1995-02-10,0.834,3307.7,376.3,481.46
1995-02-13,0.832,3294.94,375.6,481.65
1995-02-14,0.834,3192.23,376.3,482.55
1995-02-15,0.836,3069.41,376.5,484.54
1995-02-16,0.844,2863.83,377.15,485.22
1995-02-17,0.85,3023.28,379.0,481.97
1995-02-20,0.841,2961.61,379.7,481.97
1995-02-21,0.842,2793.07,378.7,482.74
1995-02-22,0.847,2872.39,379.55,485.07
1995-02-23,0.844,3217.42,379.15,486.91
1995-02-24,0.85,3270.88,376.6,488.11
1995-02-27,0.85,3270.88,376.5,483.81
1995-02-28,0.85,3270.88,377.1,487.39
1995-03-01,0.85,3270.88,374.9,485.65
1995-03-02,0.852,2989.09,376.9,485.13
1995-03-03,0.857,2988.0,376.8,485.42
1995-03-06,0.867,2867.17,379.2,485.63
1995-03-07,0.874,2615.71,384.4,482.12
1995-03-08,0.887,2363.32,379.9,483.14
1995-03-09,0.887,2138.28,382.0,483.16
1995-03-10,0.879,2686.16,382.3,489.57
1995-03-13,0.88,2670.87,385.75,490.05
1995-03-14,0.8805,3016.91,385.8,492.89
1995-03-15,0.8895,2939.43,386.3,491.88
1995-03-16,0.892,3141.72,384.1,495.41
1995-03-17,0.889,2981.13,383.7,495.52
1995-03-20,0.9015,2870.06,383.1,496.15
1995-03-21,0.9,3006.13,383.5,495.07
1995-03-22,0.907,3003.95,383.1,495.67
1995-03-23,0.907,3145.62,383.75,495.95
1995-03-24,0.908,3361.21,382.3,500.97
1995-03-27,0.909,3372.26,382.1,503.2
1995-03-28,0.907,3255.77,382.3,503.9
1995-03-29,0.908,3198.17,382.4,503.12
1995-03-30,0.902,3125.53,386.4,502.22
1995-03-31,0.895,2978.96,391.4,500.71
1995-04-03,0.901,2893.52,392.0,501.85
1995-04-04,0.9,3125.12,392.3,505.24
1995-04-05,0.899,3180.39,394.4,505.57
1995-04-06,0.893,3254.59,394.25,506.08
1995-04-07,0.899,3192.64,392.9,506.42
1995-04-10,0.896,3114.1,389.9,507.01
1995-04-11,0.9,3017.77,390.3,505.53
1995-04-12,0.9085,3020.77,390.2,507.17
1995-04-13,0.9,3020.77,389.5,509.23
1995-04-14,0.9,3020.77,389.5,509.23
1995-04-17,0.904,3113.13,394.0,506.13
1995-04-18,0.904,3193.92,395.2,505.37
1995-04-19,0.913,3330.68,394.7,504.92
1995-04-20,0.917,3384.26,392.5,505.29
1995-04-21,0.917,3384.26,390.4,508.49
1995-04-24,0.918,3512.88,390.45,512.89
1995-04-25,0.9205,3699.15,390.2,512.1
1995-04-26,0.918,3825.88,386.7,512.66
1995-04-27,0.918,3851.08,387.25,513.55
1995-04-28,0.912,3813.73,387.1,514.71
1995-05-01,0.912,3813.73,388.1,514.26
1995-05-02,0.913,3861.52,389.0,514.86
1995-05-03,0.905,3975.96,389.9,520.48
