Data;USDBRL;IBOVESPA;OURO;S&P;GEBR10Y Index
03/01/1994;0,1205;380,09;394;465,44;
04/01/1994;0,1224;400,54;393,85;466,89;
05/01/1994;0,1243;421,04;391,2;467,55;
06/01/1994;0,1263;444,17;388,9;467,12;
07/01/1994;0,1283;476,39;387,1;469,9;
10/01/1994;0,1303;495,39;384,6;475,27;
11/01/1994;0,1324;501,41;388,5;474,13;
12/01/1994;0,1344;536,43;386,4;474,17;
13/01/1994;0,1387;561,65;390;472,47;
14/01/1994;0,1409;551,06;390;474,91;
17/01/1994;0,1409;598,05;391,7;473,3;
18/01/1994;0,1409;605,71;393,3;474,25;
19/01/1994;0,1456;642,02;392,6;474,3;
20/01/1994;0,148;689,67;387,8;474,98;
21/01/1994;0,1504;689,17;382;474,72;
24/01/1994;0,1529;689,56;381,6;471,97;
25/01/1994;0,1555;689,56;381,9;470,92;
26/01/1994;0,1582;704,93;384,5;473,2;
27/01/1994;0,1609;684,49;377;477,05;
28/01/1994;0,1637;689,21;377,3;478,7;
31/01/1994;0,1668;740,55;381,9;481,61;
01/02/1994;0,17;826,86;384,5;479,62;
02/02/1994;0,1732;823,05;384,9;482;
03/02/1994;0,1765;798,35;387,3;480,71;
04/02/1994;0,1798;821,28;386,5;469,81;
07/02/1994;0,1832;848,72;379,6;471,76;
08/02/1994;0,1866;887,98;380,75;471,05;
09/02/1994;0,1902;904,66;384,2;472,77;
10/02/1994;0,1937;1000,9;382,75;468,93;
11/02/1994;0,1973;1035,4;381,8;470,18;
14/02/1994;0,1973;1035,4;384,25;470,23;
15/02/1994;0,1973;1035,4;384,2;472,52;
16/02/1994;0,201;1035,4;383,8;472,79;
17/02/1994;0,2085;1040,9;383,5;470,34;
18/02/1994;0,2124;944,8;380,3;467,69;
21/02/1994;0,2124;928,5;380,45;467,69;
22/02/1994;0,2162;1053,6;378,9;471,46;
23/02/1994;0,2202;1063;378,75;470,69;
24/02/1994;0,2241;997,9;377,45;464,26;
25/02/1994;0,2283;1008,3;379,3;466,07;
28/02/1994;0,2317;1053,8;381,75;467,14;
01/03/1994;0,2354;1073,3;378,75;464,44;
02/03/1994;0,2391;1021,4;378,1;464,81;
03/03/1994;0,2427;1045,7;377,85;463,01;
04/03/1994;0,2465;1114;377,2;464,74;
07/03/1994;0,2503;1193,9;376,4;466,91;
08/03/1994;0,2542;1204,5;377;465,88;
09/03/1994;0,2581;1260,2;379,5;467,06;
10/03/1994;0,2622;1266,9;386,8;463,9;
11/03/1994;0,2662;1268,7;385,5;466,44;
14/03/1994;0,2704;1329,6;387,4;467,39;
15/03/1994;0,2747;1350,9;387,1;467,01;
16/03/1994;0,279;1408,4;385,3;469,42;
17/03/1994;0,2835;1393,7;382,7;470,9;
18/03/1994;0,288;1331,8;387,3;471,06;
21/03/1994;0,2929;1270,8;388,5;468,54;
22/03/1994;0,2981;1353,5;389,5;468,8;
23/03/1994;0,3034;1415,7;387;468,54;
24/03/1994;0,3087;1376,6;391,7;464,35;
25/03/1994;0,3142;1459;391,4;460,58;
28/03/1994;0,3198;1469,2;388,3;460;
29/03/1994;0,3254;1440,7;386,2;452,48;
30/03/1994;0,3321;1515,5;386,4;445,55;
31/03/1994;0,3321;1515,5;391;445,77;
01/04/1994;0,3321;1515,5;391;445,77;
04/04/1994;0,3385;1355;387,2;438,92;
05/04/1994;0,345;1427,9;384,8;448,29;
06/04/1994;0,3517;1435,5;385,4;448,05;
07/04/1994;0,3584;1474,8;384,2;450,88;
08/04/1994;0,3653;1537,4;384,8;447,1;
11/04/1994;0,3723;1659,5;378,2;449,87;
12/04/1994;0,3795;1648,8;379,15;447,57;
13/04/1994;0,3868;1552,7;378,6;446,26;
14/04/1994;0,3942;1506,2;379,1;446,38;
15/04/1994;0,4018;1443,4;378,2;446,18;
18/04/1994;0,4095;1401,1;377,3;442,46;
19/04/1994;0,4173;1345,6;372,1;442,54;
20/04/1994;0,4253;1283,8;373;441,96;
21/04/1994;0,4253;1283,8;373,8;448,73;
22/04/1994;0,4334;1420,2;371,5;447,63;
25/04/1994;0,4414;1551,6;374;452,71;
26/04/1994;0,4494;1583,8;375,5;451,87;
27/04/1994;0,4575;1605,1;376;451,87;
28/04/1994;0,4652;1672,7;375,9;449,1;
29/04/1994;0,4735;1708,4;377,05;450,91;
02/05/1994;0,4813;1725,6;376,7;453,02;
03/05/1994;0,4891;1648,3;376,1;453,03;
04/05/1994;0,4971;1573,8;377,1;451,72;
05/05/1994;0,5053;1447,8;374,1;451,38;
06/05/1994;0,5136;1510,3;384;447,82;
09/05/1994;0,5222;1421,7;381,5;442,32;
10/05/1994;0,5307;1547,9;379,3;446,01;
11/05/1994;0,5396;1546;382,2;441,49;
12/05/1994;0,5487;1637,8;380,3;443,75;
13/05/1994;0,5579;1585,8;381;444,14;
16/05/1994;0,5673;1562,6;383,4;444,49;
17/05/1994;0,5769;1648,3;384,5;449,37;
18/05/1994;0,5866;1790,9;382,2;453,69;
19/05/1994;0,5965;2008,4;381,5;456,48;
20/05/1994;0,6066;2031,7;384,25;454,92;
23/05/1994;0,6168;2096,2;389,6;453,2;
24/05/1994;0,6273;2127,7;388,3;454,81;
25/05/1994;0,6378;2301,7;386,6;456,34;
26/05/1994;0,6593;2342,1;385,25;457,06;
27/05/1994;0,6705;2349,4;386;457,33;
30/05/1994;0,6705;2428,4;385,5;457,33;
31/05/1994;0,6819;2467,2;387,3;456,5;
01/06/1994;0,6938;2526,4;383,8;457,63;
02/06/1994;0,6938;2526,4;384,6;457,65;
03/06/1994;0,706;2695,9;380,9;460,13;
06/06/1994;0,7183;2908,6;380,9;458,88;
07/06/1994;0,7309;2920,5;381,45;458,21;
08/06/1994;0,7439;2821,8;382,1;457,06;
09/06/1994;0,7573;2932,4;383,3;457,86;
10/06/1994;0,7706;3020,4;384,1;458,67;
13/06/1994;0,7846;2946,9;383,7;459,1;
14/06/1994;0,7985;3017,3;384,5;462,37;
15/06/1994;0,8129;3069,7;387,2;460,61;
16/06/1994;0,8278;3033,8;386;461,93;
17/06/1994;0,843;3237,6;388,25;458,45;
